Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2020-09-18 22:07:28,GUN,NORMAL,400/91/400/30,AR,74,SIG-510,★★
2020-09-18 22:07:38,GUN,NORMAL,400/91/400/30,RF,40,SVT-38,★★
2020-09-18 22:07:38,GUN,NORMAL,400/91/400/30,RF,51,FF FN49,★★
2020-09-18 22:07:46,GUN,NORMAL,400/91/400/30,RF,47,G43,★★
2020-09-18 22:07:46,GUN,NORMAL,400/91/400/30,RF,261,QBU-88,★★★★★
2020-09-18 22:07:56,GUN,NORMAL,400/91/400/30,RF,46,Kar98k,★★★★★
2020-09-18 22:07:56,GUN,NORMAL,400/91/400/30,RF,52,VM59,★★
2020-09-18 22:08:14,GUN,NORMAL,91/400/400/30,AR,262,EM-2,★★★★
2020-09-18 22:08:14,GUN,NORMAL,91/400/400/30,AR,68,L85A1,★★
2020-09-18 22:08:21,GUN,NORMAL,91/400/400/30,SMG,25,MP40,★★
2020-09-18 22:08:21,GUN,NORMAL,91/400/400/30,AR,71,Galil,★★
2020-09-18 22:08:30,GUN,NORMAL,91/400/400/30,AR,107,FF F2000,★★
2020-09-18 22:08:30,GUN,NORMAL,91/400/400/30,SMG,31,M38,★★
2020-09-18 22:08:36,GUN,NORMAL,91/400/400/30,AR,68,L85A1,★★
2020-09-18 22:08:36,GUN,NORMAL,91/400/400/30,AR,196,Zas M21,★★★★★
2020-09-18 22:08:44,GUN,NORMAL,91/400/400/30,AR,288,CR-21,★★★★
2020-09-18 22:08:44,GUN,NORMAL,91/400/400/30,AR,118,9A-91,★★★★
2020-09-18 22:08:56,GUN,NORMAL,91/400/400/30,SMG,31,M38,★★
2020-09-18 22:08:56,GUN,NORMAL,91/400/400/30,AR,133,Type63,★★
