Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2020-09-26 06:43:19,EQUIP,HEAVY-1,500/500/500/500,HOLO,6,EOT 512,???
2020-09-26 07:06:40,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,4,VFL 6-24X56,?????
2020-09-26 07:06:42,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,???
2020-09-26 09:51:04,EQUIP,HEAVY-1,500/500/500/500,HOLO,6,EOT 512,???
2020-09-26 09:51:06,EQUIP,HEAVY-1,500/500/500/500,FAIRY,1,Warrior Fairy,?
2020-09-26 09:51:07,EQUIP,HEAVY-1,500/500/500/500,FAIRY,24,Barrier Fairy,?
2020-09-26 10:00:57,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2 Exoskeleton,???
2020-09-26 10:01:00,EQUIP,HEAVY-1,500/500/500/500,TEXO,39,IOP T3 Exoskeleton,????
2020-09-26 10:21:16,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,15,PEQ-15,????
2020-09-26 10:30:34,EQUIP,HEAVY-1,500/500/500/500,FAIRY,8,Artillery Fairy,?
2020-09-26 10:30:43,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,???
2020-09-26 10:54:23,EQUIP,HEAVY-1,500/500/500/500,REDDOT,10,AMP COMPM4,???
2020-09-26 10:54:33,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,3,PSO-1,????
2020-09-26 11:09:06,EQUIP,HEAVY-1,500/500/500/500,FAIRY,3,Armor Fairy,?
2020-09-26 11:09:18,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,???
2020-09-26 11:25:08,EQUIP,HEAVY-1,500/500/500/500,FAIRY,7,Sniper Fairy,?
2020-09-26 11:25:17,EQUIP,HEAVY-1,500/500/500/500,FAIRY,2,Fury Fairy,?
2020-09-26 11:52:20,EQUIP,HEAVY-1,500/500/500/500,FAIRY,15,Command Fairy,?
2020-09-26 11:52:20,EQUIP,HEAVY-1,500/500/500/500,FAIRY,4,Shield Fairy,?
2020-09-26 11:52:20,EQUIP,HEAVY-1,500/500/500/500,ARMORPLATE,42,Type 1 Armor Plate,???
2020-09-26 11:52:40,EQUIP,HEAVY-1,500/500/500/500,FAIRY,4,Shield Fairy,?
2020-09-26 11:52:41,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,15,PEQ-15,????
2020-09-26 11:52:50,EQUIP,HEAVY-1,500/500/500/500,FAIRY,2,Fury Fairy,?
2020-09-26 11:52:59,EQUIP,HEAVY-1,500/500/500/500,ARMORPLATE,42,Type 1 Armor Plate,???
2020-09-26 12:20:05,EQUIP,HEAVY-1,500/500/500/500,REDDOT,11,COG M150,????
2020-09-26 12:20:06,EQUIP,HEAVY-1,500/500/500/500,HOLO,7,EOT 516,????
2020-09-26 12:39:29,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,2,LRA 2-12x50,???
2020-09-26 13:01:07,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,3,PSO-1,????
2020-09-26 13:01:09,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,???
2020-09-26 13:01:11,EQUIP,HEAVY-1,500/500/500/500,HOLO,6,EOT 512,???
2020-09-26 15:32:15,EQUIP,HEAVY-1,500/500/500/500,REDDOT,10,AMP COMPM4,???
2020-09-26 15:32:15,EQUIP,HEAVY-1,500/500/500/500,FAIRY,7,Sniper Fairy,?
2020-09-26 15:32:15,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,???
2020-09-26 15:32:26,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,65,AC3 Suppressor,????
2020-09-26 15:59:39,EQUIP,HEAVY-1,500/500/500/500,FAIRY,3,Armor Fairy,★
2020-09-26 15:59:43,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,3,PSO-1,★★★★
2020-09-26 15:59:56,EQUIP,HEAVY-1,500/500/500/500,FAIRY,24,Barrier Fairy,★
2020-09-26 16:00:04,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,★★★
2020-09-26 16:10:19,EQUIP,HEAVY-1,500/500/500/500,ARMORPLATE,42,Type 1 Armor Plate,★★★
2020-09-26 16:22:19,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,2,LRA 2-12x50,★★★
